LISTING_ID,SCRAPE_ID,SCRAPED_DATE,HOST_ID,HOST_NAME,HOST_SINCE,HOST_IS_SUPERHOST,HOST_NEIGHBOURHOOD,LISTING_NEIGHBOURHOOD,PROPERTY_TYPE,ROOM_TYPE,ACCOMMODATES,PRICE,HAS_AVAILABILITY,AVAILABILITY_30,NUMBER_OF_REVIEWS,REVIEW_SCORES_RATING,REVIEW_SCORES_ACCURACY,REVIEW_SCORES_CLEANLINESS,REVIEW_SCORES_CHECKIN,REVIEW_SCORES_COMMUNICATION,REVIEW_SCORES_VALUE
11156,20201200000000,2020-12-16,40855,Colleen,23/9/2009,f,Potts Point,Sydney,Private room in apartment,Private room,1,65,t,29,196,92,10,9,10,10,10
12351,20201200000000,2020-12-16,17061,Stuart,14/5/2009,f,Pyrmont,Sydney,Private room in townhouse,Private room,2,14315,t,0,526,95,10,10,10,10,10
14250,20201200000000,2020-12-16,55948,Heidi,20/11/2009,t,Balgowlah,Northern Beaches,Entire house,Entire home/apt,6,470,t,0,2,90,8,8,9,8,8
15253,20201200000000,2020-12-15,59850,Morag,3/12/2009,f,Darlinghurst,Sydney,Private room in apartment,Private room,2,97,t,5,365,88,10,9,10,10,9
44545,20201200000000,2020-12-16,112237,Atari,22/4/2010,t,Darlinghurst,Sydney,Entire loft,Entire home/apt,2,130,t,0,76,97,10,10,10,10,10
58506,20201200000000,2020-12-16,279955,John,6/11/2010,f,Mosman,Mosman,Entire house,Entire home/apt,4,100,t,7,284,91,9,9,10,10,9
59297,20201200000000,2020-12-16,284711,Isabel,11/11/2010,t,Alexandria,Sydney,Entire house,Entire home/apt,7,310,t,12,8,93,10,9,10,10,9
61721,20201200000000,2020-12-15,299170,Eilish,25/11/2010,f,Bondi Beach,Waverley,Entire apartment,Entire home/apt,4,245,t,22,32,88,9,7,10,10,9
65126,20201200000000,2020-12-15,318390,Nicolette,14/12/2010,f,Bondi Beach,Woollahra,Entire apartment,Entire home/apt,4,170,t,0,13,91,9,9,10,9,9
66009,20201200000000,2020-12-15,322887,Belinda,19/12/2010,f,Paddington,Woollahra,Private room in apartment,Private room,4,90,t,0,1,100,10,10,10,10,10
66158,20201200000000,2020-12-15,323771,Maxine,20/12/2010,f,Elizabeth Bay,Sydney,Entire apartment,Entire home/apt,1,57,t,29,16,80,9,9,9,10,9
67112,20201200000000,2020-12-15,160705,Liz,7/7/2010,f,Marrickville,Inner West,Private room in house,Private room,2,75,t,28,23,96,10,10,10,10,10
68999,20201200000000,2020-12-16,333581,Bryan,3/1/2011,t,Sydney,Hornsby,Private room in house,Private room,4,89,t,19,46,99,10,10,10,10,10
69121,20201200000000,2020-12-16,345292,Pamela,12/1/2011,f,,Northern Beaches,Entire apartment,Entire home/apt,2,110,t,14,0,,,,,,
69956,20201200000000,2020-12-16,352614,Ben,18/1/2011,t,Bardwell Valley,Bayside,Entire guest suite,Entire home/apt,4,99,t,18,42,97,10,10,10,10,10
71866,20201200000000,2020-12-15,292913,Maz,20/11/2010,f,Randwick,Randwick,Entire apartment,Entire home/apt,4,290,t,30,7,80,10,9,10,9,8
73628,20201200000000,2020-12-15,385108,Dan,10/2/2011,f,Bondi Beach,Woollahra,Private room in apartment,Private room,2,71,t,0,8,95,10,10,10,10,10
73639,20201200000000,2020-12-16,17061,Stuart,14/5/2009,f,Pyrmont,Sydney,Private room in townhouse,Private room,2,14315,t,0,386,96,10,10,10,10,10
75702,20201200000000,2020-12-16,402292,Helen,21/2/2011,t,Malabar,Randwick,Entire apartment,Entire home/apt,2,111,t,3,272,99,10,10,10,10,10
79624,20201200000000,2020-12-16,429171,Jude,7/3/2011,f,Neutral Bay,North Sydney,Private room in house,Private room,1,75,t,23,93,99,10,10,10,10,10
80470,20201200000000,2020-12-15,434914,James,10/3/2011,f,Neutral Bay,North Sydney,Entire townhouse,Entire home/apt,5,400,t,30,6,100,10,9,10,9,10
86853,20201200000000,2020-12-15,476047,Ann,31/3/2011,f,Bondi,Waverley,Entire apartment,Entire home/apt,4,276,t,10,117,92,9,9,10,9,9
87709,20201200000000,2020-12-16,480315,Marianne,3/4/2011,f,,Northern Beaches,Private room in house,Private room,1,70,t,0,30,99,10,10,10,10,10
103273,20201200000000,2020-12-15,172878,Christopher,19/7/2010,f,North Bondi,Waverley,Entire apartment,Entire home/apt,4,364,t,21,65,90,9,9,10,10,9
105938,20201200000000,2020-12-15,549372,Susanne,1/5/2011,f,,Northern Beaches,Entire house,Entire home/apt,4,279,t,6,11,100,10,10,10,10,10
118658,20201200000000,2020-12-15,599232,James,18/5/2011,f,North Bondi,Waverley,Entire apartment,Entire home/apt,4,225,t,30,5,87,9,9,8,8,8
130970,20201200000000,2020-12-16,644516,Mel,30/5/2011,t,Redfern,Sydney,Private room in townhouse,Private room,2,62,t,2,341,97,10,10,10,10,10
132194,20201200000000,2020-12-15,640406,Jared,29/5/2011,f,,The Hills Shire,Private room in house,Private room,1,90,t,30,0,,,,,,
143280,20201200000000,2020-12-16,695349,Family Team -,13/6/2011,t,,Northern Beaches,Entire house,Entire home/apt,7,240,t,0,33,93,9,9,10,10,9
153444,20201200000000,2020-12-15,733574,Tobias,22/6/2011,t,Potts Point,Sydney,Entire apartment,Entire home/apt,2,80,t,0,221,95,10,10,10,10,10
166468,20201200000000,2020-12-15,519216,Godelieve,18/4/2011,f,,Northern Beaches,Private room in apartment,Private room,1,158,t,29,18,89,9,9,9,9,9
196157,20201200000000,2020-12-16,954713,Gill,11/8/2011,t,,Northern Beaches,Private room in house,Private room,2,58,t,16,46,96,10,9,10,10,10
196170,20201200000000,2020-12-16,954703,Diana & Lorenzo,11/8/2011,f,Bondi,Waverley,Entire apartment,Entire home/apt,2,96,t,0,7,97,10,10,10,10,9
199043,20201200000000,2020-12-16,972136,Marty,15/8/2011,f,Rosebery,Sydney,Private room in apartment,Private room,2,74,t,29,71,96,9,10,10,10,10
199669,20201200000000,2020-12-15,975349,Susie,15/8/2011,t,Bondi Beach,Waverley,Entire house,Entire home/apt,5,306,t,0,5,95,10,9,10,10,10
200868,20201200000000,2020-12-16,972136,Marty,15/8/2011,f,Rosebery,Randwick,Private room in apartment,Private room,2,67,t,0,60,94,9,9,10,10,9
210439,20201200000000,2020-12-15,519412,Sarah,18/4/2011,f,Randwick,Sydney,Entire apartment,Entire home/apt,2,110,t,0,19,96,10,9,9,10,9
219030,20201200000000,2020-12-15,490291,Ingrid,6/4/2011,f,Bondi,Waverley,Entire apartment,Entire home/apt,6,374,t,11,80,87,9,8,10,9,9
225478,20201200000000,2020-12-16,1174760,Christian,18/9/2011,f,,Sutherland Shire,Entire house,Entire home/apt,6,580,t,0,13,95,10,10,10,10,9
226202,20201200000000,2020-12-15,324467,Greg,21/12/2010,f,Coogee,Randwick,Entire apartment,Entire home/apt,4,129,t,0,2,90,10,10,10,10,10
230108,20201200000000,2020-12-15,695202,Donny,13/6/2011,f,,Northern Beaches,Entire apartment,Entire home/apt,4,120,t,29,4,80,9,7,9,10,9
232188,20201200000000,2020-12-15,695349,Family Team -,13/6/2011,t,,Northern Beaches,Entire house,Entire home/apt,8,300,t,0,128,97,10,10,10,10,10
232782,20201200000000,2020-12-15,1012161,Kirsteen,23/8/2011,f,Redfern,Sydney,Entire loft,Entire home/apt,4,110,t,0,21,92,9,9,10,10,9
236590,20201200000000,2020-12-15,1240169,Margaret,3/10/2011,f,,Blacktown,Entire apartment,Entire home/apt,2,120,t,0,32,98,10,10,10,10,10
249158,20201200000000,2020-12-16,1305383,MadeComfy,18/10/2011,f,Ultimo,Sydney,Entire apartment,Entire home/apt,2,133,t,0,96,90,9,9,9,9,9
249998,20201200000000,2020-12-15,1310233,Stefanie,19/10/2011,f,Bondi Junction,Waverley,Entire apartment,Entire home/apt,4,250,t,0,14,100,10,10,10,10,10
250821,20201200000000,2020-12-16,299170,Eilish,25/11/2010,f,Bondi Beach,Waverley,Entire apartment,Entire home/apt,2,180,t,0,3,90,9,9,9,10,8
252427,20201200000000,2020-12-15,1214840,Jenni,27/9/2011,f,Coogee,Randwick,Entire apartment,Entire home/apt,2,130,t,0,12,98,10,10,10,10,10
255059,20201200000000,2020-12-16,1340280,Sally,27/10/2011,f,Newtown,Inner West,Entire house,Entire home/apt,8,337,t,28,15,98,10,9,10,10,9
255090,20201200000000,2020-12-16,1340540,Tommy,27/10/2011,f,Darling Point,Woollahra,Entire apartment,Entire home/apt,3,75,t,0,17,82,8,8,9,9,8
257847,20201200000000,2020-12-16,1356919,Laelie,31/10/2011,f,,Sutherland Shire,Entire house,Entire home/apt,6,346,t,0,24,97,10,10,10,10,10
259857,20201200000000,2020-12-16,673365,Marie,7/6/2011,t,Camperdown,Inner West,Private room in house,Private room,2,110,t,0,158,97,10,10,10,10,10
264513,20201200000000,2020-12-16,1387801,Kristin,9/11/2011,f,Willoughby,Willoughby,Entire house,Entire home/apt,8,714,t,19,33,93,9,9,10,10,9
264925,20201200000000,2020-12-15,1389838,Sophie & Todd,9/11/2011,f,North Bondi,Waverley,Entire apartment,Entire home/apt,6,600,t,1,10,95,9,9,10,10,9
271182,20201200000000,2020-12-15,140484,Bronwyn,8/6/2010,f,Newtown,Sydney,Entire loft,Entire home/apt,4,130,t,0,40,100,10,9,10,10,10
273477,20201200000000,2020-12-15,1427173,Liora,20/11/2011,f,North Bondi,Waverley,Entire house,Entire home/apt,6,385,t,16,1,100,10,10,10,10,10
273673,20201200000000,2020-12-16,1431845,Sebastien,22/11/2011,f,Maroubra,Randwick,Private room in house,Private room,1,131,t,30,0,,,,,,
275607,20201200000000,2020-12-15,1440732,Jacqui,25/11/2011,f,Bondi,Waverley,Entire apartment,Entire home/apt,4,479,t,23,13,92,10,10,10,10,9
275625,20201200000000,2020-12-16,1440754,Lynda,25/11/2011,f,Randwick,Randwick,Private room in condominium,Private room,2,75,t,26,52,97,10,10,10,10,10
